"activity_period","aircraft_body_type","aircraft_manufacturer","aircraft_model","aircraft_version","geo_region","geo_summary","landing_aircraft_type","landing_count","operating_airline","operating_airline_iata_code","published_airline","published_airline_iata_code","total_landed_weight"
"200507","Narrow Body","McDonnell Douglas","DC-9","30","US","Domestic","Freighter","40","ABX Air","GB","ABX Air","GB","4066000"
"200507","Narrow Body","McDonnell Douglas","DC-9","41","US","Domestic","Freighter","1","ABX Air","GB","ABX Air","GB","102000"
"200507","Narrow Body","Boeing","757","200","US","Domestic","Passenger","2","ATA Airlines","TZ","ATA Airlines","TZ","396000"
"200507","Narrow Body","Boeing","757","300","US","Domestic","Passenger","167","ATA Airlines","TZ","ATA Airlines","TZ","37408000"
"200507","Wide Body","Boeing","767","333","Canada","International","Passenger","1","Air Canada","AC","Air Canada","AC","320000"
"200507","Narrow Body","Airbus","A319","114","Canada","International","Passenger","160","Air Canada","AC","Air Canada","AC","21520000"
"200507","Narrow Body","Airbus","A320","211","Canada","International","Passenger","146","Air Canada","AC","Air Canada","AC","20761200"
"200507","Narrow Body","Airbus","A321","211","Canada","International","Passenger","2","Air Canada","AC","Air Canada","AC","343040"
"200507","Wide Body","Boeing","747","400","Asia","International","Passenger","23","Air China","CA","Air China","CA","14490000"
"200507","Wide Body","Boeing","747","400","Europe","International","Passenger","31","Air France","AF","Air France","AF","18855500"
"200507","Wide Body","Boeing","747","400","Australia / Oceania","International","Passenger","14","Air New Zealand","NZ","Air New Zealand","NZ","8820000"
"200507","Narrow Body","Boeing","737","700","US","Domestic","Passenger","62","AirTran Airways","FL","AirTran Airways","FL","7936000"
"200507","Narrow Body","Boeing","737","400","US","Domestic","Passenger","274","Alaska Airlines","AS","Alaska Airlines","AS","33154000"
"200507","Narrow Body","Boeing","737","400","Canada","International","Passenger","33","Alaska Airlines","AS","Alaska Airlines","AS","3993000"
"200507","Narrow Body","Boeing","737","400","Mexico","International","Passenger","85","Alaska Airlines","AS","Alaska Airlines","AS","10285000"
"200507","Narrow Body","Boeing","737","700","US","Domestic","Passenger","34","Alaska Airlines","AS","Alaska Airlines","AS","4392800"
"200507","Narrow Body","Boeing","737","700","Canada","International","Passenger","27","Alaska Airlines","AS","Alaska Airlines","AS","3488400"
"200507","Narrow Body","Boeing","737","800","US","Domestic","Passenger","1","Alaska Airlines","AS","Alaska Airlines","AS","144000"
"200507","Narrow Body","Boeing","737","800","Canada","International","Passenger","1","Alaska Airlines","AS","Alaska Airlines","AS","144000"
"200507","Narrow Body","Boeing","737","900","US","Domestic","Passenger","4","Alaska Airlines","AS","Alaska Airlines","AS","585200"
"200507","Narrow Body","McDonnell Douglas","MD-80","93","Mexico","International","Passenger","7","Alaska Airlines","AS","Alaska Airlines","AS","910000"
"200507","Narrow Body","McDonnell Douglas","MD-80",,"US","Domestic","Passenger","60","Alaska Airlines","AS","Alaska Airlines","AS","7800000"
"200507","Narrow Body","McDonnell Douglas","MD-80",,"Canada","International","Passenger","31","Alaska Airlines","AS","Alaska Airlines","AS","4030000"
"200507","Wide Body","Boeing","777","200ER","Asia","International","Passenger","31","All Nippon Airways","NH","All Nippon Airways","NH","14260000"
"200507","Narrow Body","Boeing","757",,"US","Domestic","Passenger","217","American Airlines","AA","American Airlines","AA","42966000"
"200507","Wide Body","Boeing","767","200","US","Domestic","Passenger","87","American Airlines","AA","American Airlines","AA","23490000"
"200507","Wide Body","Boeing","767","300","US","Domestic","Passenger","155","American Airlines","AA","American Airlines","AA","48050000"
"200507","Narrow Body","McDonnell Douglas","MD-80","83","US","Domestic","Passenger","290","American Airlines","AA","American Airlines","AA","37700000"
"200507","Narrow Body","McDonnell Douglas","MD-80","SP","US","Domestic","Passenger","400","American Airlines","AA","American Airlines","AA","52000000"
"200507","Regional Jet","Embraer","ERJ","140","US","Domestic","Passenger","152","American Eagle Airlines","MQ","American Airlines","AA","6277600"
"200507","Regional Jet","LearJet","35A",,"US","Domestic","Freighter","1","Ameriflight","A8","Ameriflight","A8","15300"
"200507","Turbo Prop","Swearingen","SA-227","AC","US","Domestic","Freighter","22","Ameriflight","A8","Ameriflight","A8","308000"
"200507","Turbo Prop","Swearingen","SA-227","AT","US","Domestic","Freighter","8","Ameriflight","A8","Ameriflight","A8","124000"
"200507","Wide Body","Boeing","747","400","Asia","International","Freighter","4","Asiana Airlines","OZ","Asiana Airlines","OZ","2664000"
"200507","Wide Body","Boeing","777","200ER","Asia","International","Passenger","17","Asiana Airlines","OZ","Asiana Airlines","OZ","7820000"
"200507","Wide Body","Airbus","A300",,"US","Domestic","Freighter","21","Astar Air Cargo","ER","Astar Air Cargo","ER","6203820"
"200507","Wide Body","McDonnell Douglas","DC-8","73","US","Domestic","Freighter","20","Astar Air Cargo","ER","Astar Air Cargo","ER","5500000"
"200507","Turbo Prop","Swearingen","SA-227","L","US","Domestic","Freighter","21","Astar Air Cargo","ER","Astar Air Cargo","ER","279720"
"200507","Regional Jet","Bombardier","CRJ","700","US","Domestic","Passenger","23","Atlantic Southeast Airlines","EV","Delta Air Lines","DL","1541000"
